         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      287    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:283(do_init_cached_fields)
        4    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:740(__init__)
      467    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:63(_stringify)
     8432    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       62    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1721(notify_thread_created)
        4    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:719(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:665(__init__)
     1217    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:208(m2i)
       71    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:648(__len__)
       81    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3626(set)
       71    0.000    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:116(decode_layer2)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:623(__init__)
      142    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1544(_options)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:760(setup_location_tracking_frame)
       83    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3215(m2i)
       10    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:809(mysummary)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
       34    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:314(can_exit)
      490    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:663(_raw_packet_cache_field_value)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:573(_code)
      168    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2991(__init__)
       68    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\base64.py:65(b64decode)
        2    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:139(make_thread_created_message)
     3882    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5434    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:969(parse)
     10/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:32(start_capture)
      184    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3199(_fixup_val)
     27/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
       74    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:122(put)
     4793    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1282(<lambda>)
       68    0.001    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:107(new_threading_enumerate)
  221/215    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:373(add_payload)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:975(start)
     11/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
      144    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:813(m2i)
      2/1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2326(__init__)
      142    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:902(i2repr)
